product_id,title,description,category,item_type,brand,model_tier,price,material,tecnologia
1,Smartphone Apple - Basic,"O Smartphone Apple - Basic é a escolha ideal para quem busca performance. Fabricado com Polímero de alta resistência, este modelo Basic oferece Conexão 5G. Produto original Apple com acabamento premium.",Eletrônicos,Smartphone,Apple,Basic,233.89,Polímero de alta resistência,Conexão 5G
2,Smartphone Apple - Plus,"O Smartphone Apple - Plus é a escolha ideal para quem busca performance. Fabricado com Polímero de alta resistência, este modelo Plus oferece Bateria de 5000mAh. Produto original Apple com acabamento premium.",Eletrônicos,Smartphone,Apple,Plus,350.84,Polímero de alta resistência,Bateria de 5000mAh
3,Smartphone Apple - Premium,"O Smartphone Apple - Premium é a escolha ideal para quem busca performance. Fabricado com Polímero de alta resistência, este modelo Premium oferece Bateria de 5000mAh. Produto original Apple com acabamento premium.",Eletrônicos,Smartphone,Apple,Premium,467.78,Polímero de alta resistência,Bateria de 5000mAh
4,Smartphone Apple - Pro Max,"O Smartphone Apple - Pro Max é a escolha ideal para quem busca performance. Fabricado com Polímero de alta resistência, este modelo Pro Max oferece Processador Octa-core. Produto original Apple com acabamento premium.",Eletrônicos,Smartphone,Apple,Pro Max,584.73,Polímero de alta resistência,Processador Octa-core
5,Smartphone Samsung - Basic,"O Smartphone Samsung - Basic é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Basic oferece Bateria de 5000mAh. Produto original Samsung com acabamento premium.",Eletrônicos,Smartphone,Samsung,Basic,429.98,Vidro temperado,Bateria de 5000mAh
6,Smartphone Samsung - Plus,"O Smartphone Samsung - Plus é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Plus oferece Conexão 5G. Produto original Samsung com acabamento premium.",Eletrônicos,Smartphone,Samsung,Plus,644.97,Vidro temperado,Conexão 5G
7,Smartphone Samsung - Premium,"O Smartphone Samsung - Premium é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Premium oferece Conexão 5G. Produto original Samsung com acabamento premium.",Eletrônicos,Smartphone,Samsung,Premium,859.96,Vidro temperado,Conexão 5G
8,Smartphone Samsung - Pro Max,"O Smartphone Samsung - Pro Max é a escolha ideal para quem busca performance. Fabricado com Vidro temperado, este modelo Pro Max oferece Tela Super AMOLED. Produto original Samsung com acabamento premium.",Eletrônicos,Smartphone,Samsung,Pro Max,1074.95,Vidro temperado,Tela Super AMOLED
9,Smartphone LG - Basic,"O Smartphone LG - Basic é a escolha ideal para quem busca performance. Fabricado com Alumínio aeroespacial, este modelo Basic oferece Bateria de 5000mAh. Produto original LG com acabamento premium.",Eletrônicos,Smartphone,LG,Basic,318.14,Alumínio aeroespacial,Bateria de 5000mAh
10,Smartphone LG - Plus,"O Smartphone LG - Plus é a escolha ideal para quem busca performance. Fabricado com Alumínio aeroespacial, este modelo Plus oferece Processador Octa-core. Produto original LG com acabamento premium.",Eletrônicos,Smartphone,LG,Plus,477.21,Alumínio aeroespacial,Processador Octa-core
11,Smartphone LG - Premium,"O Smartphone LG - Premium é a escolha ideal para quem busca performance. Fabricado com Alumínio aeroespacial, este modelo Premium oferece Processador Octa-core. Produto original LG com acabamento premium.",Eletrônicos,Smartphone,LG,Premium,636.28,Alumínio aeroespacial,Processador Octa-core
